ASN,Organization
15751,Meteor Mobile Communications Limited
15759,PJSC Rostelecom
15763,DOKOM21
15796,SALT MOBILE
15802,du
15808,AccessKenya Group
15824,A1 Telekom Austria AG
15868,Nalchik-Telecom Ltd
15897,Vodafone Telekomunikasyon A.S.
15943,wilhelm.tel
15964,CAMTEL
15974,Volgatranstelecom
15997,Intelligent Technologies
16058,Gabon Telecom
16097,HLkomm
16154,Telecoms Ltd.
16202,PŸUR - Mitte
16223,Columbus AS16223
16227,Vip Line Telecom Ltd.
16229,Primetel PLC
16232,Telecom Italia S.p.A.
16236,Stellantis Auto SAS
16281,Utelisys Communications B.V.
16285,Joint Stock Company TransTeleCom
16301,PJSC Rostelecom
16345,BEE
16438,Satelcom Internet Inc.
16504,Granite Telecommunications
16524,MetTel
16527,Guadalupe Valley Telephone Cooperative
16531,Protel i-Next
16591,Google Fiber Inc.
16629,CTCCORP
16696,iTel Networks Inc
16708,Telcom Systems LLC
16717,CRAWKANINTERNET
16728,Mattel Inc.
16735,Algar Telecom
16814,IPLAN Telecomunicaciones - NSS S.A.
16863,Home Telecom
16942,Citizens Telephone Cooperative
17069,Cotel Argentina
17072,TOTAL PLAY TELECOMUNICACIONES AS17072
17079,Telemovil El Salvador S.A.
17143,Winn Telecom
17356,Vermont Telephone
17380,Project Mutual Telephone Cooperative Association Inc.
17400,MSTELCOM SARL
17408,Chief
17421,Mobile Business Group
17465,Asianet Satellite Communications Ltd
17469,Access Telecom
17470,Etisalat Lanka
17477,Macquarie Telecom
17483,City Online services Limited
17494,Bangladesh Telecommunications
17501,Worldlink Communications
17557,PTCL
17621,China Unicom Shanghai Network
17623,China Unicom Shenzen network
17709,Asia Pacific Telecom
17726,Telecom Cambodia
17771,Southern Online Bio Technologies Limited
17806,Mango Teleservices Limited
17813,Mahanagar Telephone Nigam Limited
17853,LGTELECOM
17911,Brain Telecommunication
17917,Quadrant Televentures
17924,SmarTone Mobile Communications
17968,Daqing zhongji petroleum telecommunication construction limited cpmpany
18004,SMARTFREN TELECOM Tbk
18024,BT ACCESS
18092,Q-shu Tele Communications
18126,Chubu Telecommunications Co.Inc. (ctc)
18187,Source Telecoms
18209,Atria Convergence Technologies
18214,Telus International
18233,PT&T
18390,Spin Internet Services
18399,Yatanarpon Teleport ASN 18399
18403,FPT Telecom
18734,Bestel
18881,TELEFÔNICA BRASIL AS18881
18988,City West Cable & Telephone
19114,Otecel
19180,Americatel Perú
19182,TELEFÔNICA BRASIL AS19182
19331,Twin Lakes
19332,Marcatel COM
19422,Telefonica Moviles del Uruguay
19523,BH TELECOM
19605,3 Rivers Telephone Cooperative Inc.
19635,Sandhill Telephone Cooperative
19752,Hydro One Telecom
19754,Rural Telecommunications of America
19863,Guyana Telephone & Telegraph Co.
19881,Valley Telecom
19889,Telviso Argentina
19955,Pineland Telephone Cooperative Inc.
19970,R&R Managed Telecom Services
20057,AT&T Mobility LLC
20115,Charter Communications
20135,Millennium Telcom LLC
20257,Farmers Telephone Cooperative
20283,CONSOLIDATED TELEPHONE AS 20283
20300,Woodstock Telephone Company
20436,Prairie Grove Telephone Co.
20477,Randolph Telephone Company
20485,TransTelecom
20634,Telecom Liechtenstein AG
20661,State Company of Electro Communications Turkmentelecom
20686,Bisping & Bisping GmbH & Co. KG
20714,Merlin-Telekom
20746,Telecom Italia S.p.A.
20776,Outremer Telecom SAS
20804,EXATEL SA
20807,JSC 'ER-Telecom Holding'
20845,DIGI Ltd
20870,Joint Stock Company TransTeleCom
20880,PŸUR - Nord
20886,bn:t Blatzheim Networks Telecom
20895,'Yuzhniy TELECOM' ltd.
20932,SIG Telecom
20960,TKTelekom
20978,TT Mobil Iletisim Hizmetleri A.S
21003,General Post and Telecommunication Company (GPTC)
21013,eww ag / ITandTEL
21017,PJSC Rostelecom
21032,TELTA Citynetz GmbH
21050,Fast Telecommunications Company
21127,Joint Stock Company TransTeleCom
21191,Joint Stock Company TransTeleCom
21193,CTTI-XTEC
21243,Polkomtel Sp. z o.o.
21246,Ipko Telecommunication
21263,TeleData GmbH
21271,SOTELMA
21277,Newroz Telecom
21283,A1 Slovenija
21299,Beeline Kazakhstan
21305,IP TelCom LLC
21310,Satellite Ltd
21351,Canal+ Telecom
21353,JSC 'ER-Telecom Holding'
21360,Empirion Telekommunikations Services GmbH
21378,PJSC Rostelecom
21413,envia TEL
21479,PJSC Rostelecom
21487,PJSC Rostelecom
21491,Uganda Telecom
21565,Horry Telephone Cooperative Inc.
21574,CENTURY TELECOM
21575,Entel Peru S.A.
21766,Ben Lomand Connect
21782,Plateau Telecommunications
21826,Corporación Telemic Network
21921,New Hope Telephone Cooperative
21928,T-Mobile USA
22056,Sitel
22324,XTEL
22351,INTELSAT
22353,Taylor Telephone Cooperative Inc.
22363,Powerhouse Management Inc.
22368,TELEBUCARAMANGA S.A. E.S.P.
22381,Megatelecom Telecomunicacoes
22423,Altima Telecom
22573,Northwestel
22639,Cooptel Coop de Telecommunication
