ASN,Report count,Organization
141995,17915,Contabo Asia
9498,17911,Bharti Airtel Limited
396356,17782,Latitude.sh AS396356
8611,17668,Athens University of Economics and Business
2500,17499,WIDE Project
25211,17482,'Euro Crypt' EOOD
213613,17480,
680,17459,DFN Deutsches Forschungsnetz e.V.
134963,17161,Alibaba Cloud (Singapore) Private Limited
61112,16943,AKILE
9541,16939,Cyber Internet Services
212835,16909,
14593,16879,SpaceX Starlink
213790,16570,Limited Network LTD
22552,16485,eSited Solutions
9304,16291,HGC
9198,16206,Kazakhtelecom
5603,16191,Telekom Slovenije
34984,16187,Superonline
207463,15914,INFOGAIR
55836,15823,Reliance Jio Infocomm NLD Network
204428,15814,SS-Net
21334,15498,One Hungary
25369,15484,Hydra Communications Ltd (EU)
4538,15462,CERNET-CN
39891,15436,Saudi Telecom Company JSC
28573,15380,Claro S.A. (NET)
8069,15281,Microsoft AS8069
213456,15203,
56041,15149,China Mobile communications corporation
201401,15041,NewVM
6057,15011,ANTEL
7029,14742,Uniti Kinetic
8881,14576,1&1 Versatel Deutschland
206092,14537,Internet Utilities Europe and Asia Limited
4788,14535,Telekom Malaysia Berhad (TM)
5089,14499,Virgin Media
8193,14204,'Uzbektelekom' Joint Stock Company
3301,14055,Telia Sweden
51265,13987,Mass Response / spusu
8369,13978,Intersvyaz
15557,13899,SFR Group
12322,13897,Free SAS
5410,13806,Bouygues Telecom ISP
1136,13641,KPN NL
3214,13592,xTom GmbH
7303,13563,TELECOM ARGENTINA
33915,13521,Vodafone Libertel B.V.
24186,13379,Railtel Corporation Of India
150179,13243,KAAL TECH CO. LIMITED
20115,13026,Charter Communications
12479,12923,Orange Spain
54801,12910,Zillion Network Inc.
9318,12875,SK Broadband
16232,12870,Telecom Italia S.p.A.
29465,12359,MTN NIGERIA Communication
33765,12075,TTCL Corporation
1257,12069,TELE2
400536,12007,Nodestop
197183,11950,Occentus Network SL
211849,11904,
5432,11894,Proximus
25019,11885,Saudi Telecom Company (STC SAUDINET)
200019,11558,AlexHost
22773,11497,Cox Communications
25255,11402,Drei Austria
5384,11398,Emirates Internet
206262,11332,TelKos
63737,11306,VIETSERVER SERVICES TECHNOLOGY COMPANY LIMITED
21928,10976,T-Mobile USA
5650,10971,Frontier Communications of America (FCA)
53062,10917,Brasil TecPar
215304,10878,
8359,10860,Mobile TeleSystems PJSC
22884,10805,TOTAL PLAY TELECOMUNICACIONES AS22884
16135,10756,TURKCELL
29302,10636,Hosting Services Inc
15704,10396,MásMóvil
34450,10376,NET GATE COMUNICATII
38365,10320,Baidu Netcom Science and Technology Co. Ltd.
14576,10240,King Servers
216071,10235,VDSINA
3212,10182,Telemach Slovenia
19871,10134,Network Solutions LLC
26599,10054,TELEFÔNICA BRASIL AS26599
51847,9970,Nearoute Limited
9086,9956,Docklands Data Centre
5391,9914,Croatian Telecom
31133,9911,MegaFon
208637,9839,4 Vendeta Ltd
27699,9811,TELEFÔNICA BRASIL AS27699
140061,9797,Qinghai Telecom
6848,9761,Telenet
214062,9747,ITITAN HOSTING SOLUTIONS SRL
48925,9727,VibeGAMES B.V.
138915,9723,Kaopu Cloud HK
209800,9658,ZEMAGG
24547,9592,Hebei Mobile Communication Company Limited
5607,9528,Sky Broadband
197207,9524,Mobile Communication Company of Iran
204457,9493,Atlantis Telekomünikasyon bil. hizm. san.tic.ltd.şti.
17639,9490,CONVERGE ICT SOLUTION
9031,9487,EDPNET Belgium
12430,9439,Vodafone España
23693,9423,Telekomunikasi Selular
5610,9415,O2 Czech Republic
17451,9285,Biznet Networks
6855,9123,Slovak Telekom/T-Mobile CZ
215778,9066,Alpha Strike Labs GmbH
20845,8964,DIGI Ltd
6128,8944,Cablevision Systems Corporation
9269,8765,Hong Kong Broadband Network LTD
213990,8761,AOFB
14048,8703,The University of Memphis
13036,8689,T-Mobile CZ AS13036
137409,8679,Global Secure Layer
29802,8668,Hivelocity LLC
36903,8606,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM
47585,8603,YIGITHOSTING
42961,8585,Zain KW
38136,8482,Akari Networks Limited
15162,8460,
26658,8356,HT
14080,8354,Telmex Colombia
199739,8271,Earthlink Telecommunications Equipment Trading & Services DMCC
46844,8253,Sharktech
42237,8251,W1N
24309,8187,Atria Convergence Technologies Ltd.
42821,8157,K&K Kommunikationssysteme GmbH
203214,8134,Hulum Almustakbal
15796,8129,SALT MOBILE
12912,8128,T-Mobile Polska
4811,8049,China Telecom (Group)
17858,8047,LG POWERCOMM
17622,8011,China Unicom Guangzhou network
37705,7905,TOPNET / tunisia
8402,7902,Corbina Telecom
52468,7864,Ufinet Latam AS52468
199785,7831,
141718,7746,haoxiangyun
2119,7739,Telenor Norway
50340,7694,Selectel MSK
20001,7670,Charter Communications (20001)
34779,7665,T-2 d.o.o.
207184,7625,
137687,7577,
9183,7542,Robert Bosch Gesellschaft mit Beschraenkter Haftung
29222,7536,Infomaniak Network SA
22927,7527,Telefonica de Argentina
212567,7487,Freie Netze Muenchen e.V.
1221,7477,Telstra Corporation Ltd
16019,7466,Vodafone Czech Republic
35487,7460,Misaka Network Inc. (EMEA)
134420,7453,Chongqing Telecom
46606,7316,Endurance International Group Inc
17318,7311,DomainTools LLC
11320,7256,LightEdge Solutions
54113,7239,Fastly Inc.
45820,7185,Tata Teleservices
131090,7170,NT(CAT) Broadband
7979,7155,SERVERS.COM
2514,7150,NTT PC Communications (InfoSphere)
16735,7070,Algar
24955,7069,JSC Ufanet
6799,7068,OTEnet
12695,7042,CJSC Digital Network
2527,7029,Sony Network Communications
137718,7016,VOLCANO-ENGINE
984,7015,OWS
18881,7006,TELEFÔNICA BRASIL AS18881
216221,6996,
6697,6966,Beltelecom
18209,6931,Atria Convergence Technologies
8866,6859,Vivacom Bulgaria EAD
17638,6776,ASN for TIANJIN Provincial Net of CT
197834,6755,Ucom CJSC
267784,6752,Flyservers S.A.
37061,6749,Safaricom AS37061
42969,6726,Alpha Strike Labs GmbH
11426,6704,Charter Communications Inc
62068,6681,SpectraIP B.V.
30844,6612,Liquid Intelligent Technologies
49544,6540,i3D.net
917,6534,Misaka.io
9141,6515,P4 PLAY Network
200195,6506,Verasel Inc.
57043,6494,HOSTKEY B.V.
17488,6448,Hathway IP Over Cable Internet
58519,6395,Cloud Computing Corporation
3816,6326,COLOMBIA TELECOMUNICACIONES S.A. ESP
3257,6309,GTT Communications (AS3257)
9534,6299,Maxis Communications Bhd
47583,6289,Hostinger International
17816,6284,CHINA169-GZ
62164,6279,Heymman Servers
132199,6278,Globe Telecom Inc.
24444,6268,Shandong Mobile Communication Company Limited
149125,6235,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED
206216,6218,Advin Servers
214481,6145,Wojciech Czapkowicz
57269,6145,Digi Spain Telecom
210644,6124,Aéza
4847,6121,CNIX-AP
17917,6113,Quadrant Televentures
17676,5956,SoftBank Corp.
22295,5952,Advin Servers AS22295
133481,5939,Advanced Wireless Network Co. Ltd.(ฺBroadband)
38623,5934,Viettel (Cambodia) Pte. Ltd.
30081,5918,CacheFly
212477,5913,RoyaleHosting
10796,5911,Charter Communications (10796)
215224,5873,NovoServe Customers ASN
17995,5848,iForte Global Internet
58087,5840,Florian Kolb
53958,5836,AUPROXIES LLC
29066,5824,velia.net
40065,5804,CNSERVERS
6568,5803,Entel S.A. - EntelNet
213155,5803,Yettel Hungary Ltd.
58061,5782,Scalaxy
23888,5731,National Telecommunication Corporation HQ
7040,5598,Netminders Server Hosting
4130,5597,University of Pittsburgh
35612,5561,Eolo SpA
11664,5515,CLARO ARGENTINA
216341,5490,
200651,5489,FlokiNET
7738,5479,Vtal 7738
9341,5466,Indonesia Comnets Plus AS9341
48721,5456,Flyservers S.A.
24835,5455,Vodafone Egypt
63760,5452,AZDIGI Corporation
23674,5414,Nayatel
20860,5395,iomart
17072,5355,TOTAL PLAY TELECOMUNICACIONES AS17072
151873,5339,TOTHOST SOLUTIONS AND TECHNOLOGIES COMPANY LIMITED
215730,5327,H2NEXUS
48452,5321,Traffic Broadband Communications
13999,5279,Mega Cable S.A. de C.V.
8400,5260,TSSRB - Telekom Srbija
4230,5252,Claro
60490,5240,MTS PJSC
6167,5188,Verizon Business AS6167
6849,5170,Ukrtelecom
20940,5160,Akamai Technologies
38731,5116,Vietel - CHT Compamy Ltd
3216,5113,VimpelCom
47690,5046,TNGNET B.V. (AS47690)
41745,5042,Baykov Ilya Sergeevich
208949,5036,HBING LIMITED
197019,5030,WEDOS Internet
9123,5025,JSC TimeWeb
44034,5019,Hi3G Access AB
63961,5001,BdREN
25192,4958,CZ.NIC z.s.p.o.
136787,4953,PacketHub S.A.
45204,4923,Gemnet
15962,4920,Orange Slovensko
206206,4920,KNET
852,4911,TELUS Communications
13489,4893,TigoUne
8374,4892,Polkomtel
2280,4888,Orange S.A.
29518,4872,Bredband2
11427,4853,Charter Communications (11427)
213887,4840,WAICORE
401696,4832,cognetcloud INC
12552,4830,GlobalConnect AS12552
8346,4827,SONATEL DAKAR
25513,4822,MGTS
209272,4816,Alviva Holding Limited
211619,4798,MAXKO
35819,4798,Etihad Etisalat Company (Mobily)
47995,4781,Apple Technologies LLC
401152,4777,Ace Data Centers II
54098,4760,LIONLINK NETWORKS
12975,4748,Palestinian Telecommunications
209702,4743,
214036,4711,Ultahost Inc.
27967,4703,Gobernacion de la Provincia de Buenos Aires
51207,4693,Free Mobile SAS
212913,4681,FOP Hornostay Mykhaylo Ivanovych
201194,4681,Nahor Hadish Design and Architecture Co. Ltd
19527,4678,Google LLC AS19527
215826,4673,
57695,4672,Misaka Network Inc.
6810,4672,Bezeq
1764,4651,next layer
47987,4646,Zemlyaniy Dmitro Leonidovich
2860,4640,NOS
9038,4626,Umniah Mobile Company
401172,4611,
61756,4607,NETPONTAL PROVEDOR DE INTERNET
50304,4585,Blix Solutions AS
8376,4580,Jordan Data Communications Company LLC
17813,4571,Mahanagar Telephone Nigam Limited
18049,4570,Taiwan Optical Platform Group
27747,4545,Telecentro
6327,4537,Shaw Cablesystems
12400,4535,Partner Communications
9329,4529,Sri Lanka Telecom
3223,4522,VOXILITY
719,4513,Elisa Finland
56040,4494,China Mobile communications corporation
3243,4468,MEO Residential
39603,4464,PLAY
60729,4453,Zwiebelfreunde
140810,4444,Megacore Technology Company
577,4390,Bell Canada Backbone
56042,4384,China Mobile communications corporation
140726,4379,UNICOM AnHui province network
4750,4372,CS Loxinfo
53107,4366,EVEO
47377,4360,Orange Belgium SA
8796,4339,Fast Data
198953,4338,Proton66 OOO
16086,4333,DNA
394695,4323,Public Domain Registry
34549,4265,meerfarbig GmbH & Co. KG
2519,4242,ARTERIA Networks Corporation (Vectant)
3356,4213,Lumen AS3356
56044,4210,China Mobile communications corporation
45609,4208,Bharti Airtel Ltd. AS for GPRS Service
14754,4206,Telgua
329166,4201,Absolute Hosting
215439,4188,PLAY2GO
37492,4149,Orange Tunisie
10620,4143,Telmex Colombia S.A.
42708,4140,Portlane
8595,4137,WestCall
58563,4128,CHINANET Hubei province network
138341,4128,SHOPEE SINGAPORE
39351,4125,31173 Services
24139,4124,Huashu media&Network Limited
12353,4107,Vodafone Portugal
4609,4106,Macau CTM
38264,4061,Wateen Telecom
45117,4054,Ishan Netsol
39421,4052,Sapinet
51747,4052,Internet Vikings International
12741,4047,Netia
43350,4038,NFOrce Internet Services :: 43350
5578,4036,SWAN / exBENESTRA
43641,4034,SOLLUTIUM EU Sp z.o.o.
211659,4034,
48832,4018,Linkdotnet-Jordan
2516,4011,KDDI
58212,3987,Dataforest
41039,3972,Deutsche Breitbanddienste GmbH
262551,3968,Farol Telecom
8732,3956,COMCOR
55577,3953,Atria Convergence Technologies Ltd.
6400,3952,Claro Dominicana
39089,3938,Ugletelecom - AS39089
33771,3936,Safaricom AS33771
8708,3929,DIGI RO
38841,3917,kbro
33363,3916,Charter Communications (33363)
134768,3898,CHINANET SHAANXI province Cloud Base network
61178,3898,Digital Transformation Plus LLC
36873,3897,Airtel Networks Nigeria
7545,3894,TPG Telecom
271042,3879,BOT INTERNET E SERVICOS DE TELECOMUNICACOES
64236,3878,UnReal Servers
36925,3873,Meditelecom
150895,3866,EZ TECHNOLOGY COMPANY LIMITED
23532,3864,iOVZ Networks
12714,3859,PJSC MegaFon
8167,3858,Vtal 8167
397423,3837,Tier.Net Technologies LLC
55933,3831,Cloudie
7385,3821,Electric Lightwave
203963,3812,SPDNet Telekomunikasyon Hizmetleri Bilgi Teknolojileri Taahhut Sanayi Ve Ticaret A.S.
25490,3811,PJSC Rostelecom
21299,3799,Beeline Kazakhstan
45916,3786,Gujarat Telelink
17665,3786,ONEOTT iNTERTAINMENT LTD
214279,3780,DASABO
29256,3777,Syrian Telecommunication
7590,3761,Commission on Science and Technology for
51202,3750,NUXOA GmbH
141679,3742,China Telecom Beijing Tianjin Hebei Big Data Industry Park Branch
812,3723,Rogers Cable
16010,3711,Magticom Broadband
31200,3708,Novotelecom (NTK)
397368,3695,
13285,3688,PlatformX Communications
151185,3679,China Telecom
61098,3655,Akenes SA
1101,3654,Not SURF Net
15895,3635,Kyivstar
47516,3609,DEHOST
28840,3607,PJSC 'TATTELECOM'
1680,3587,Cellcom Israel
8612,3575,Tiscali
11562,3565,NETUNO
215929,3558,Data Campus Limited
20911,3548,Net-Surf.net
12735,3547,TurkNet Iletisim Hizmetleri A.S
394089,3518,Google LLC
44395,3511,UCOM AS44395
9145,3507,EWE TEL
17882,3491,Univision Mongolia
262210,3491,VIETTEL PERU
8473,3484,Bahnhof
7418,3477,Movistar ISP
24086,3473,Viettel Corporation
28209,3462,Under
17762,3459,Tata Teleservices (Maharastra)
49434,3451,FBW Networks
136557,3449,Host Universal
209588,3433,Flyservers S.A.
12271,3432,Charter Communications Inc
12810,3427,A1 Hrvatska d.o.o.
39392,3422,SH.cz
36992,3418,ETISALAT MISR
52804,3400,ESTREITONET LTDA
55967,3380,Baidu
4775,3378,Globe Telecom
152194,3377,CTG Server Limited
26496,3362,GoDaddy
42610,3362,Rostelecom MRB Moscow
48642,3361,K Telecom Ldt.
264628,3361,FIBEX TELECOM
24961,3358,WIIT Group
24863,3343,LINKdotNET
21246,3338,Ipko Telecommunication
9260,3330,Multinet Pakistan Pvt. Ltd.
37105,3327,rain Networks
1759,3314,Telia Finland
57169,3311,EDIS GmbH
36884,3308,Wana Corporate (AS36884)
37611,3305,Afrihost
2116,3301,GlobalConnect AS2116
10912,3294,Unitas Global
215590,3287,DpkgSoft International Limited
31615,3285,Odido AS31615
146817,3277,Hubei Feixun Network Co. Ltd
35179,3275,Korbank
17552,3272,True Internet Co.
56048,3266,China Mobile Communicaitons Corporation
10429,3257,TELEFÔNICA BRASIL AS10429
27882,3253,Telefónica Celular de Bolivia
48282,3252,Hosting technology LTD
4800,3240,Lintasarta
401109,3221,
134771,3212,WENZHOU ZHEJIANG Province P.R.China.
216246,3212,Aéza (RU)
263703,3200,CORPORACION VNET C.A.
35805,3189,Silknet
215703,3179,FREAKHOSTING
14987,3175,Rethem Hosting LLC
56047,3163,China Mobile communications corporation
210278,3156,Sky Italia AS210278
8339,3128,Kabelplus GmbH
4618,3120,Internet Thailand (INET)
50867,3116,HOSTKEY
198584,3114,PIO-Hosting GmbH
27651,3112,entel MPLS
209101,3106,IP Vendetta Inc.
18978,3100,Enzu Inc.
6830,3100,Liberty Global
8445,3097,Salzburg AG
12301,3094,One Hungary Ltd._12301
8220,3094,Colt
44244,3085,Iran Cell Service and Communication Company
23201,3072,TIGO PY
9930,3067,TIME DotCom Berhad
50219,3067,Valence Technology Co.
205544,3051,LeaseWeb UK / LON-01
26383,3041,Baxet Group Inc.
216416,3040,Evolus IT Solutions GmbH
49505,3039,Selectel Ltd.
4685,3039,ASAHI Net
269538,3036,CONECTEC NET LTDA
6147,3002,Telefonica Del Perú
8899,2994,Deutsche Glasfaser Group
33567,2992,Econet Telecom Lesotho (PTY) LTD
400529,2991,Infraly LLC
137951,2990,ASLINE LIMITED
54600,2977,RAKsmart
36692,2964,Cisco Umbrella
7489,2961,HostUS
132165,2960,Connect Communications
20011,2947,NTT DATA Broadband South Africa
205714,2944,Telemach Croatia
209847,2939,THE Hosting
43766,2938,Zain KSA
38283,2934,CHINANET SiChuan Telecom Internet Data Center
197450,2934,SUNUCUN
133661,2930,Netplus Broadband Services
212219,2927,Hosting Dunyam
37693,2923,Ooredoo Tunisia
137697,2915,CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou  Jiangsu Province P.R.China.
136188,2897,NINGBO ZHEJIANG Province P.R.China.
37671,2895,3S INF
200593,2892,PROSPERO OOO
35369,2879,LINZ AG TELEKOM
50266,2877,Odido
41436,2874,Kamatera EU
207326,2873,HostLAB
20326,2872,Teraswitch Inc
4761,2872,Indosat Ooredoo
28343,2852,Unifique Telecomunicações
202422,2847,Gcore (AS202422)
207990,2845,HostRoyale Technologies Pvt Ltd
15943,2843,wilhelm.tel
28006,2827,CNT EP
207713,2822,GLOBAL INTERNET SOLUTIONS
132124,2815,Information and Communication Technology Agency of Sri Lanka
204104,2810,Giti Secure Cloud
140292,2804,CHINATELECOM Jiangsu province Suzhou 5G network
262415,2800,OPEN PROCESSAMENTO DE DADOS
9506,2796,Singtel Fibre Broadband
42337,2783,Respina Networks & Beyond PJSC
4780,2779,New Century InfoComm Tech Co.Ltd.
27947,2773,Telconet Ecuador
24445,2773,Henan Mobile Communications Co.Ltd
211507,2763,Julian Achter
30633,2761,LeaseWeb USA / WDC-02
149078,2759,VPSMMO TECHNOLOGY COMPANY LIMITED
21499,2755,Host Europe GmbH
29314,2748,VECTRA
215090,2746,Keskin Yavuz trading as HebergTonServ
42807,2740,CIZGI TELEKOMUNIKASYON ANONIM SIRKETI
6821,2739,Makedonski Telekom
133118,2716,China Unicom IP network
21479,2715,PJSC Rostelecom
14117,2714,Telefonica del Sur
15924,2698,VODAFONE NET ILETISIM HIZMETLERI AS15924
2107,2688,Arnes
27831,2686,Colombia Móvil
46261,2686,QuickPacket
209,2682,Lumen AS209
200514,2670,KnownSRV LTD
23956,2664,AMBERIT
11351,2654,Charter Communications Inc
213780,2628,ARKCORE
37340,2622,Spectranet AS37340
11556,2621,Cable & Wireless Panama
214822,2621,MT FINANCE LLC
19429,2613,ETB - Colombia
135089,2607,China Telecom
37148,2596,Globacom Limited
134762,2593,CHINANET Liaoning province Dalian MAN network
214973,2590,AXST
20485,2584,TransTelecom
18809,2571,Cable Onda
18734,2570,Bestel
16591,2566,GFiber
17511,2561,OPTAGE
15600,2560,Quickline AG
26210,2545,AXS BOLIVIA
399073,2532,BUNNY TECHNOLOGY LLC
10139,2524,Smart Broadband
206067,2518,Three UK AS206067
213230,2512,Hetzner Online Cloud 2
30860,2502,Virtual Systems AS30860
35104,2495,Kaztranscom
149746,2493,PT BLiP Integrator Provider
30058,2487,FDCServers.Net
35228,2484,O2 Broadband
400618,2481,PSC
55286,2476,ServerMania Inc
1955,2470,Hungarian NREN
16637,2465,MTN South Africa
63023,2460,GTHost
135761,2459,Userlinks Netcom
5378,2456,Vodafone UK
141140,2455,MyRise AS141140
19108,2437,Suddenlink Communications
2914,2436,NTT Global IP Network
209956,2433,Telkoturk
55081,2433,24Shells Inc
138754,2417,Kerala Vision Broadband Limited
28952,2414,O2 Business Services
9674,2410,Far EastTone Telecommunication Co. Ltd.
22363,2400,Powerhouse Management Inc.
23688,2398,Link3 Technologies Limited
327934,2396,SOCIETE NATIONALE DES TELECOMMUNICATIONS (Tunisie Telecom)
44327,2394,Delta-Comm
786,2394,Janet
27901,2377,Pacifico Cable S.A.
9845,2374,CJCKN
18779,2371,Energy Group Networks
16223,2367,Columbus AS16223
12849,2364,HotNet Internet Services
135953,2363,Vietnam Online Network Solution Joint Stock Compnay
198253,2362,Kukushkin Anatoly Valerievich
42397,2360,Bunea TELECOM SRL
55720,2351,TheGigabit
9905,2350,Linknet ASN
8767,2347,M-net
21826,2338,Corporación Telemic Network
37457,2335,Telkom Internet
204957,2332,GREEN FLOID
28787,2326,Baku Telephone Communication LLC
5769,2322,Videotron AS5769
43754,2319,Asiatech
5466,2312,eircom
28685,2309,RoutIT B.V.
13110,2304,INEA
138423,2298,CMPak (AS138423)
22612,2291,Namecheap
11878,2271,TZULO
47674,2270,Net Solutions Macau
15802,2270,du
205530,2268,DE-CIX R&D Measurement
12605,2260,Liwest Kabelmedien
52565,2255,EDGAR RODRIGUES ROMAO FILHO
56766,2254,PE Bakhilov Ilya Vitalievich
15435,2250,DELTA Fiber - AS15435
265936,2230,TURBONET CE
62044,2230,Zscaler AS62044
17421,2226,Mobile Business Group
30689,2222,FLOW
131378,2219,Cloud Viet Technology Company Limited
200590,2218,NLS Kazakhstan
209132,2217,Alviva Holding Limited
45458,2207,Advanced Wireless Network Co. Ltd.(Enterprise/NIX)
11259,2207,Angola Telecom
36924,2196,GVA
59432,2194,GINERNET
12252,2189,CLARO PERU
150008,2189,Pioneer Elabs Ltd.
8764,2180,Telia Lietuva AB
132510,2176,IDC ShanXi China Mobile communications corporation
36351,2173,SoftLayer Technologies Inc. (an IBM Company)
12392,2162,Brutele SC / Voo
47524,2160,TURKSAT
212317,2156,Hetzner Online Cloud 3
28885,2154,OmanTel NAP
9873,2151,LAOTELECOM
49592,2151,Pipe Networks LTD
56309,2145,ReadyIDC
6866,2138,CYTA
149020,2138,WebHorizon Internet Services
201579,2136,HOSTGNOME LTD
28812,2123,PJSC 'Bashinformsvyaz'
