JA4,User Agent
t13d751000_479067518aa3_07f3eb559a7e,
t13d6912h2_8b2139ff7677_6ad6ad58eedb,
t13d6813h2_13e0e9e1c501_7dbb428ba866,
t13d681200_13e0e9e1c501_37d1d1ae7554,
t13d681200_13e0e9e1c501_1302103ec3ba,
t13d5911h1_a33745022dd6_b505f6e32f82,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/605.1.15 KHTML like Gecko Version/17.3 Safari/605.1.15
t13d591100_a33745022dd6_71b735a17123,axios/1.11.0|axios/1.8.4
t13d591000_a33745022dd6_5ede5b5877dd,
t13d591000_a33745022dd6_40018055699d,axios/1.11.0|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko HeadlessChrome/138.0.7204.23 Safari/537.36|axios/1.8.4
t13d5713h2_131602cb7446_ca0f130cf995,
t13d571100_131602cb7446_c02ebc369b3f,
t13d561100_bc01e4e2260a_35ae00372215,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/121.0.0.0 Safari/537.36
t13d531000_ed6c8d7875f9_ca724472d9b1,
t13d521200_b262b3658495_a9e194930d02,axios/1.8.4
t13d521200_b262b3658495_39ab96b5ffd5,axios/1.8.4
t13d521200_b262b3658495_12644ad88185,axios/1.8.4
t13d521100_b262b3658495_f12a9c4f0d6d,axios/1.8.4
t13d521100_b262b3658495_50d4576e852f,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/120.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/139.0.0.0 Safari/537.36|axios/1.8.4
t13d491300_bd868743f55c_867a32efce91,Mozilla/5.0 compatible; SERankingBacklinksBot/1.0; +https://*** 
t13d491200_bd868743f55c_e6eeea934fcb,
t13d491200_bd868743f55c_d2fecedd45ff,
t13d491200_bd868743f55c_a42b7605765d,
t13d491200_bd868743f55c_7c76daad20ec,Mozilla/5.0 compatible; SERankingBacklinksBot/1.0; +https://*** 
t13d491200_bd868743f55c_07335da95fef,
t13d491100_bd868743f55c_fa269c3d986d,
t13d491100_834380eab35e_24695f2957a7,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/60.0.3112.113 Safari/537.36 Assetnote/1.0.0|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36
t13d491000_834380eab35e_5ac7197df9d2,
t13d4907h2_0d8feac7bc37_7395dae3b2f3,curl/8.1.2|curl/8.7.1|curl/8.4.0
t13d451100_e26e34db8f0c_0afe9a111c48,axios/1.8.4
t13d451100_d524c25c267f_fa269c3d986d,
t13d451000_d524c25c267f_1345d725f1f1,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/107.0.0.0 Safari/537.36
t13d450900_d524c25c267f_9da38b6fd1bc,Mozilla/5.0 AppleWebKit/537.36 KHTML like Gecko; compatible; Amazonbot/0.1; +https://*** Chrome/119.0.6045.214 Safa|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/107.0.0.0 Safari/537.36
t13d4412h1_fd39b124ee10_89b78339ac4c,pythonrequests/2.32.3
t13d4412h1_fd39b124ee10_58ed7828516f,
t13d4313h1_c7886603b240_d339722ba4af,pythonhttpx/0.27.2
t13d4312h2_c7886603b240_d41ae481755e,
t13d4312h2_c7886603b240_24695f2957a7,Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:122.0 Gecko/20100101 Firefox/122.0
t13d4312h1_c7886603b240_d41ae481755e,pythonhttpx/0.27.0|Mozilla/5.0 Windows NT 10.0; Win64; x64 Chrome/91.0.4472.124|pythonhttpx/0.27.2|pythonhttpx/0.24.1|pythonhttpx/0.22.0
t13d4312h1_c7886603b240_b26ce05bbdd6,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|pythonrequests/2.31.0|pythonrequests/2.32.5|Mozilla/5.0 X11; Linux x86_64; rv:83.0 Gecko/20100101 Firefox/83.0|pythonrequests/2.32.3|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/122.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/81.0.4044.129 Safari/537.36|pythonrequests/2.25.1|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/91.0.4472.124 Safari/537.36|Mozilla/5.0 iPhone; CPU iPhone OS 13_2_3 like Mac OS X AppleWebKit/605.1.15 KHTML like Gecko Version/13.0.3 Mobile/15E148 Safari/604.1|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/60.0.3112.113 Safari/537.36 Assetnote/1.0.0|pythonrequests/2.32.4|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36
t13d4312h1_c7886603b240_8d633dac7124,pythonrequests/2.25.1|pythonrequests/2.31.0|pythonrequests/2.32.5|pythonrequests/2.32.4
t13d4312h1_c7886603b240_24695f2957a7,pythonhttpx/0.24.1|pythonhttpx/0.22.0
t13d431200_c7886603b240_d339722ba4af,
t13d4311h1_c7886603b240_d41ae481755e,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/91.0.4472.124 Safari/537.36
t13d4311h1_c7886603b240_b26ce05bbdd6,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/106.0.0.0 Safari/537.36
t13d4311h1_c7886603b240_7379471da272,
t13d431000_c7886603b240_1f22a2ca17c4,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/60.0.3112.113 Safari/537.36 Assetnote/1.0.0|Mozilla/5.0
t13d430900_c7886603b240_1f22a2ca17c4,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36
t13d3813h1_0053d156b780_03eb65375a95,pythonrequests/2.32.5|pythonrequests/2.32.3|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36
t13d3811h1_d907d51a1673_5ac7197df9d2,
t13d3714h1_91ec122131b4_97a66a8f4cb1,pythonrequests/2.25.1
t13d371200_db35923f8641_7c76daad20ec,
t13d371200_db35923f8641_771b308a775a,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/139.0.0.0 Safari/537.36/Nutch1.21SNAPSHOT
t13d371100_db35923f8641_fa269c3d986d,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/104.0.0.0 Safari/537.36|OICrawler/Nutch https://*** |Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/139.0.0.0 Safari/537.36/Nutch1.21SNAPSHOT
t13d371100_db35923f8641_7ca1f6f6bf38,
t13d3614h2_018971650b2c_af6a7c1c9809,
t13d3614h1_018971650b2c_af6a7c1c9809,
t13d3613h2_018971650b2c_e7e754ef087b,
t13d3613h2_018971650b2c_10734c531abe,
t13d3613h2_018971650b2c_03eb65375a95,
t13d3613h1_bcee18a5b459_ecd0401ec68b,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/116.0.0.0 Safari/537.36
t13d3613h1_bcee18a5b459_e10b9050f4c9,pythonrequests/2.32.4
t13d3613h1_bcee18a5b459_8537cf56674e,pythonrequests/2.32.4
t13d3613h1_018971650b2c_e7e754ef087b,
t13d361300_6f3f643b658b_7ab4cb0d9bfd,Mozilla/5.0 compatible; NetcraftSurveyAgent/1.0; +info@netcraft.com
